shipping_id,order_id,shipping_date,return_date,shipping_providers,delivery_status
100,5100,18/01/2023,26/01/2023,dhl,Returned
101,5101,28/12/2024,,dhl,In Transit
102,5102,27/07/2021,01/08/2021,dhl,Returned
103,5103,27/02/2024,,ups,Delivered
104,5104,13/02/2022,,ups,Delivered
105,5105,13/03/2020,,bluedart,Delivered
106,5106,24/12/2023,,fedex,Delivered
107,5107,16/07/2024,,fedex,In Transit
108,5108,20/06/2024,29/06/2024,fedex,Returned
109,5109,16/11/2024,,fedex,In Transit
110,5110,02/03/2021,,fedex,In Transit
111,5111,29/01/2021,02/02/2021,dhl,Returned
112,5112,28/09/2024,,ups,Delivered
113,5113,08/07/2022,13/07/2022,ups,Returned
114,5114,11/10/2020,20/10/2020,ups,Returned
115,5115,26/12/2022,,fedex,Delivered
116,5116,10/05/2021,15/05/2021,fedex,Returned
117,5117,20/03/2020,,bluedart,In Transit
118,5118,03/09/2023,,dhl,In Transit
119,5119,19/06/2023,,bluedart,In Transit
120,5120,08/12/2023,14/12/2023,ups,Returned
121,5121,18/07/2022,21/07/2022,dhl,Returned
122,5122,01/08/2023,08/08/2023,ups,Returned
123,5123,28/06/2020,03/07/2020,bluedart,Returned
124,5124,07/04/2021,11/04/2021,bluedart,Returned
125,5125,04/11/2023,,bluedart,Delivered
126,5126,31/03/2023,09/04/2023,ups,Returned
127,5127,22/04/2022,,bluedart,Delivered
128,5128,07/10/2020,,fedex,Delivered
129,5129,28/09/2022,08/10/2022,dhl,Returned
130,5130,25/06/2024,,dhl,In Transit
131,5131,07/10/2024,11/10/2024,ups,Returned
132,5132,14/06/2023,23/06/2023,ups,Returned
133,5133,02/01/2024,10/01/2024,ups,Returned
134,5134,01/11/2022,,bluedart,Delivered
135,5135,09/05/2022,,bluedart,Delivered
136,5136,16/01/2020,,bluedart,In Transit
137,5137,21/01/2021,,fedex,Delivered
138,5138,28/09/2023,,dhl,In Transit
139,5139,31/07/2021,,ups,In Transit
140,5140,15/07/2021,,fedex,Delivered
141,5141,13/07/2021,,dhl,Delivered
142,5142,24/08/2021,,dhl,In Transit
143,5143,15/01/2024,,bluedart,In Transit
144,5144,18/04/2023,,bluedart,Delivered
145,5145,04/02/2020,12/02/2020,bluedart,Returned
146,5146,22/09/2022,30/09/2022,bluedart,Returned
147,5147,10/08/2021,,dhl,In Transit
148,5148,27/11/2021,06/12/2021,bluedart,Returned
149,5149,14/02/2020,17/02/2020,ups,Returned
150,5150,04/04/2021,10/04/2021,bluedart,Returned
151,5151,01/12/2020,,ups,In Transit
152,5152,26/06/2021,04/07/2021,dhl,Returned
153,5153,10/09/2020,19/09/2020,fedex,Returned
154,5154,05/06/2021,10/06/2021,bluedart,Returned
155,5155,14/04/2022,,bluedart,In Transit
156,5156,26/12/2021,,fedex,Delivered
157,5157,18/07/2022,21/07/2022,dhl,Returned
158,5158,06/11/2021,14/11/2021,dhl,Returned
159,5159,28/07/2023,06/08/2023,bluedart,Returned
160,5160,09/02/2021,18/02/2021,ups,Returned
161,5161,14/07/2023,20/07/2023,bluedart,Returned
162,5162,31/08/2021,10/09/2021,bluedart,Returned
163,5163,27/02/2021,07/03/2021,bluedart,Returned
164,5164,03/09/2022,06/09/2022,ups,Returned
165,5165,18/05/2020,,bluedart,Delivered
166,5166,16/02/2021,,dhl,Delivered
167,5167,26/12/2024,,fedex,Delivered
168,5168,15/02/2024,,fedex,In Transit
169,5169,03/02/2024,,bluedart,Delivered
170,5170,20/06/2020,,bluedart,In Transit
171,5171,01/01/2025,04/01/2025,ups,Returned
172,5172,18/11/2023,25/11/2023,fedex,Returned
173,5173,18/06/2022,,bluedart,Delivered
174,5174,27/08/2023,05/09/2023,ups,Returned
175,5175,21/12/2022,27/12/2022,ups,Returned
176,5176,26/10/2020,,dhl,Delivered
177,5177,14/05/2020,17/05/2020,dhl,Returned
178,5178,21/01/2022,,dhl,Delivered
179,5179,31/10/2024,,dhl,Delivered
180,5180,20/07/2021,26/07/2021,bluedart,Returned
181,5181,25/12/2021,,fedex,In Transit
182,5182,05/05/2022,,ups,Delivered
183,5183,02/09/2022,06/09/2022,bluedart,Returned
184,5184,04/10/2020,14/10/2020,bluedart,Returned
185,5185,13/07/2020,,bluedart,In Transit
186,5186,05/01/2022,,bluedart,Delivered
187,5187,26/07/2023,,bluedart,Delivered
188,5188,11/02/2023,,fedex,In Transit
189,5189,29/11/2024,03/12/2024,fedex,Returned
190,5190,15/06/2024,20/06/2024,dhl,Returned
191,5191,27/01/2022,05/02/2022,fedex,Returned
192,5192,29/06/2023,,fedex,Delivered
193,5193,04/09/2020,,dhl,Delivered
194,5194,28/10/2023,02/11/2023,dhl,Returned
195,5195,10/09/2021,15/09/2021,ups,Returned
196,5196,09/11/2023,12/11/2023,bluedart,Returned
197,5197,08/06/2024,,bluedart,In Transit
198,5198,11/06/2023,,ups,In Transit
199,5199,06/10/2023,13/10/2023,bluedart,Returned
200,5200,16/05/2022,,ups,In Transit
201,5201,17/11/2021,24/11/2021,bluedart,Returned
202,5202,12/09/2024,,dhl,In Transit
203,5203,07/11/2023,,bluedart,Delivered
204,5204,08/01/2023,17/01/2023,fedex,Returned
205,5205,29/05/2024,,dhl,In Transit
206,5206,04/12/2024,,bluedart,Delivered
207,5207,04/04/2020,,bluedart,Delivered
208,5208,03/05/2020,09/05/2020,ups,Returned
209,5209,22/02/2021,27/02/2021,bluedart,Returned
210,5210,08/09/2024,,dhl,In Transit
211,5211,07/12/2022,,fedex,Delivered
212,5212,22/07/2024,29/07/2024,bluedart,Returned
213,5213,18/06/2021,,fedex,In Transit
214,5214,14/02/2024,,dhl,Delivered
215,5215,24/04/2020,28/04/2020,dhl,Returned
216,5216,14/06/2023,,fedex,In Transit
217,5217,04/10/2021,,ups,Delivered
218,5218,29/01/2023,,fedex,In Transit
219,5219,24/05/2022,29/05/2022,fedex,Returned
220,5220,24/03/2021,,bluedart,Delivered
221,5221,22/03/2022,,ups,In Transit
222,5222,26/11/2023,05/12/2023,dhl,Returned
223,5223,28/07/2021,07/08/2021,fedex,Returned
224,5224,22/01/2022,31/01/2022,dhl,Returned
225,5225,09/11/2022,,fedex,Delivered
226,5226,08/09/2021,,bluedart,In Transit
227,5227,14/11/2023,22/11/2023,dhl,Returned
228,5228,25/02/2024,,dhl,Delivered
229,5229,14/10/2021,,fedex,In Transit
230,5230,08/06/2023,,fedex,Delivered
231,5231,10/11/2022,,fedex,Delivered
232,5232,07/12/2020,,bluedart,Delivered
233,5233,11/08/2023,16/08/2023,dhl,Returned
234,5234,11/05/2020,,ups,Delivered
235,5235,28/06/2023,,ups,Delivered
236,5236,18/11/2020,27/11/2020,dhl,Returned
237,5237,08/06/2022,,dhl,Delivered
238,5238,02/06/2023,,ups,Delivered
239,5239,26/01/2024,,bluedart,In Transit
240,5240,09/04/2024,,bluedart,Delivered
241,5241,22/03/2020,,fedex,Delivered
242,5242,01/04/2021,,bluedart,Delivered
243,5243,29/09/2021,,ups,Delivered
244,5244,22/05/2022,,fedex,Delivered
245,5245,20/06/2024,23/06/2024,ups,Returned
246,5246,11/07/2022,,bluedart,Delivered
247,5247,30/10/2021,05/11/2021,fedex,Returned
248,5248,22/03/2020,,fedex,Delivered
249,5249,17/10/2020,26/10/2020,fedex,Returned
250,5250,18/06/2023,,ups,In Transit
251,5251,23/03/2020,,bluedart,Delivered
252,5252,12/01/2023,18/01/2023,ups,Returned
253,5253,09/09/2020,17/09/2020,dhl,Returned
254,5254,07/06/2020,,fedex,Delivered
255,5255,27/10/2020,,ups,In Transit
256,5256,04/09/2024,,ups,In Transit
257,5257,29/11/2021,,fedex,Delivered
258,5258,13/03/2021,,dhl,Delivered
259,5259,17/08/2021,,ups,Delivered
260,5260,31/05/2022,,ups,In Transit
261,5261,02/05/2023,,fedex,In Transit
262,5262,10/07/2021,14/07/2021,fedex,Returned
263,5263,14/09/2020,24/09/2020,bluedart,Returned
264,5264,06/08/2024,,bluedart,Delivered
265,5265,26/02/2023,05/03/2023,dhl,Returned
266,5266,29/09/2024,,fedex,Delivered
267,5267,21/04/2022,,bluedart,In Transit
268,5268,11/11/2022,,dhl,Delivered
269,5269,03/05/2020,,dhl,Delivered
270,5270,21/03/2024,,ups,Delivered
271,5271,20/02/2020,28/02/2020,ups,Returned
272,5272,30/09/2021,,dhl,Delivered
273,5273,04/07/2024,,ups,Delivered
274,5274,29/11/2024,,fedex,Delivered
275,5275,16/01/2022,,dhl,In Transit
276,5276,03/10/2023,10/10/2023,ups,Returned
277,5277,19/12/2024,,bluedart,In Transit
278,5278,11/02/2021,,dhl,In Transit
279,5279,17/06/2022,,bluedart,In Transit
280,5280,19/06/2021,28/06/2021,ups,Returned
281,5281,12/02/2021,,fedex,In Transit
282,5282,09/09/2021,15/09/2021,dhl,Returned
283,5283,24/07/2021,,ups,In Transit
284,5284,06/12/2020,,dhl,Delivered
285,5285,02/11/2022,,dhl,In Transit
286,5286,17/05/2022,,fedex,Delivered
287,5287,21/12/2020,25/12/2020,bluedart,Returned
288,5288,07/05/2021,16/05/2021,bluedart,Returned
289,5289,13/04/2021,,dhl,In Transit
290,5290,28/02/2021,09/03/2021,ups,Returned
291,5291,18/04/2020,,ups,Delivered
292,5292,19/07/2020,,fedex,In Transit
293,5293,28/12/2023,02/01/2024,fedex,Returned
294,5294,26/10/2022,05/11/2022,ups,Returned
295,5295,07/09/2021,11/09/2021,bluedart,Returned
296,5296,13/12/2022,18/12/2022,fedex,Returned
297,5297,26/09/2020,,ups,Delivered
298,5298,19/11/2021,,fedex,Delivered
299,5299,27/08/2023,,ups,In Transit
300,5300,03/01/2023,,bluedart,In Transit
301,5301,08/02/2020,16/02/2020,ups,Returned
302,5302,11/04/2023,16/04/2023,dhl,Returned
303,5303,04/01/2022,10/01/2022,dhl,Returned
304,5304,17/12/2022,,bluedart,Delivered
305,5305,26/07/2023,,ups,Delivered
306,5306,27/08/2020,04/09/2020,fedex,Returned
307,5307,14/06/2021,22/06/2021,ups,Returned
308,5308,25/11/2024,,ups,Delivered
309,5309,13/01/2023,,fedex,Delivered
310,5310,14/04/2020,,dhl,In Transit
311,5311,16/12/2023,,fedex,Delivered
312,5312,11/03/2023,,ups,In Transit
313,5313,13/07/2024,,dhl,In Transit
314,5314,26/04/2020,,ups,In Transit
315,5315,20/09/2024,,dhl,In Transit
316,5316,19/07/2020,,bluedart,In Transit
317,5317,10/10/2021,,dhl,Delivered
318,5318,23/06/2024,,dhl,Delivered
319,5319,08/03/2021,,dhl,In Transit
320,5320,12/03/2022,15/03/2022,bluedart,Returned
321,5321,15/06/2020,,ups,In Transit
322,5322,31/03/2020,,dhl,In Transit
323,5323,12/06/2020,,bluedart,In Transit
324,5324,31/03/2021,,bluedart,Delivered
325,5325,07/08/2022,,fedex,In Transit
326,5326,14/11/2022,,ups,Delivered
327,5327,07/11/2021,10/11/2021,dhl,Returned
328,5328,13/11/2023,,bluedart,In Transit
329,5329,22/12/2024,31/12/2024,dhl,Returned
330,5330,22/11/2020,29/11/2020,ups,Returned
331,5331,04/07/2020,13/07/2020,fedex,Returned
332,5332,22/08/2023,,bluedart,Delivered
333,5333,14/07/2021,,fedex,Delivered
334,5334,18/12/2023,27/12/2023,dhl,Returned
335,5335,25/12/2023,30/12/2023,bluedart,Returned
336,5336,05/11/2023,,bluedart,In Transit
337,5337,23/08/2020,,fedex,Delivered
338,5338,28/01/2022,,fedex,In Transit
339,5339,15/04/2020,,bluedart,Delivered
340,5340,31/05/2023,,dhl,In Transit
341,5341,03/04/2023,,ups,In Transit
342,5342,31/01/2020,,dhl,In Transit
343,5343,13/05/2020,18/05/2020,ups,Returned
344,5344,26/08/2022,,dhl,In Transit
345,5345,24/04/2024,,bluedart,In Transit
346,5346,09/07/2020,,ups,In Transit
347,5347,01/06/2022,07/06/2022,dhl,Returned
348,5348,23/03/2022,,ups,In Transit
349,5349,19/10/2020,25/10/2020,dhl,Returned
350,5350,25/11/2022,,fedex,In Transit
351,5351,17/08/2024,23/08/2024,bluedart,Returned
352,5352,24/07/2022,,ups,Delivered
353,5353,19/10/2023,,bluedart,In Transit
354,5354,30/07/2024,,fedex,Delivered
355,5355,02/02/2023,,fedex,Delivered
356,5356,27/07/2023,,bluedart,Delivered
357,5357,17/05/2023,,ups,Delivered
358,5358,06/01/2025,15/01/2025,ups,Returned
359,5359,23/04/2022,,fedex,Delivered
360,5360,27/02/2023,,bluedart,Delivered
361,5361,17/07/2024,,fedex,Delivered
362,5362,13/07/2020,,ups,Delivered
363,5363,01/03/2024,,ups,In Transit
364,5364,27/07/2024,,bluedart,Delivered
365,5365,18/10/2023,,dhl,In Transit
366,5366,09/09/2021,,bluedart,In Transit
367,5367,08/01/2023,13/01/2023,bluedart,Returned
368,5368,15/11/2022,,dhl,Delivered
369,5369,24/07/2020,27/07/2020,dhl,Returned
370,5370,09/10/2021,17/10/2021,dhl,Returned
371,5371,23/10/2020,,fedex,Delivered
372,5372,07/04/2020,,fedex,Delivered
373,5373,06/03/2023,10/03/2023,bluedart,Returned
374,5374,18/05/2022,25/05/2022,bluedart,Returned
375,5375,26/05/2021,,fedex,In Transit
376,5376,21/05/2020,,ups,In Transit
377,5377,24/05/2020,,bluedart,In Transit
378,5378,21/08/2024,26/08/2024,fedex,Returned
379,5379,05/09/2020,,bluedart,In Transit
380,5380,16/07/2024,,dhl,In Transit
381,5381,01/05/2024,,ups,In Transit
382,5382,23/09/2024,,bluedart,In Transit
383,5383,09/03/2022,,bluedart,Delivered
384,5384,11/10/2020,17/10/2020,ups,Returned
385,5385,18/09/2023,,fedex,Delivered
386,5386,22/02/2020,,fedex,In Transit
387,5387,12/05/2020,,ups,In Transit
388,5388,20/12/2021,,fedex,In Transit
389,5389,26/10/2023,,ups,In Transit
390,5390,01/05/2020,,fedex,In Transit
391,5391,20/02/2022,24/02/2022,fedex,Returned
392,5392,23/05/2022,28/05/2022,ups,Returned
393,5393,12/09/2024,,bluedart,Delivered
394,5394,08/09/2020,13/09/2020,fedex,Returned
395,5395,28/07/2021,,ups,Delivered
396,5396,21/04/2022,,bluedart,Delivered
397,5397,03/03/2023,,ups,In Transit
398,5398,23/02/2022,,bluedart,In Transit
399,5399,06/04/2021,,dhl,In Transit
400,5400,28/03/2021,,fedex,Delivered
401,5401,27/05/2023,03/06/2023,dhl,Returned
402,5402,04/01/2024,,ups,Delivered
403,5403,09/01/2021,,fedex,Delivered
404,5404,16/07/2024,,bluedart,In Transit
405,5405,08/11/2021,,bluedart,In Transit
406,5406,16/04/2024,24/04/2024,dhl,Returned
407,5407,13/02/2020,,fedex,In Transit
408,5408,23/04/2020,,ups,In Transit
409,5409,29/03/2024,,fedex,In Transit
410,5410,08/06/2022,,bluedart,Delivered
411,5411,25/06/2021,,dhl,In Transit
412,5412,24/12/2021,,dhl,Delivered
413,5413,20/08/2023,,ups,Delivered
414,5414,26/01/2024,,fedex,Delivered
415,5415,11/12/2021,19/12/2021,dhl,Returned
416,5416,10/03/2024,,fedex,Delivered
417,5417,14/03/2022,23/03/2022,dhl,Returned
418,5418,28/06/2021,,bluedart,In Transit
419,5419,14/10/2021,,dhl,In Transit
420,5420,17/11/2020,,ups,In Transit
421,5421,01/06/2020,,ups,Delivered
422,5422,29/09/2020,,dhl,Delivered
423,5423,13/12/2023,,ups,In Transit
424,5424,09/02/2023,,dhl,Delivered
425,5425,28/11/2023,06/12/2023,bluedart,Returned
426,5426,17/12/2022,,bluedart,Delivered
427,5427,06/01/2020,16/01/2020,dhl,Returned
428,5428,12/10/2021,15/10/2021,bluedart,Returned
429,5429,03/06/2024,,ups,In Transit
430,5430,07/02/2022,,fedex,Delivered
431,5431,27/06/2024,,bluedart,Delivered
432,5432,26/01/2020,05/02/2020,ups,Returned
433,5433,20/11/2023,,fedex,In Transit
434,5434,17/05/2023,20/05/2023,dhl,Returned
435,5435,17/03/2021,,ups,Delivered
436,5436,06/10/2022,12/10/2022,ups,Returned
437,5437,25/03/2024,,bluedart,In Transit
438,5438,05/05/2024,,bluedart,Delivered
439,5439,23/04/2022,28/04/2022,dhl,Returned
440,5440,25/07/2022,,fedex,In Transit
441,5441,23/05/2020,26/05/2020,ups,Returned
442,5442,27/08/2024,,dhl,In Transit
443,5443,21/01/2021,,bluedart,Delivered
444,5444,14/09/2023,,fedex,Delivered
445,5445,11/11/2024,,dhl,Delivered
446,5446,15/01/2020,24/01/2020,dhl,Returned
447,5447,19/03/2022,25/03/2022,ups,Returned
448,5448,27/08/2021,,ups,In Transit
449,5449,23/03/2020,,ups,In Transit
450,5450,04/05/2020,,ups,Delivered
451,5451,26/12/2022,,ups,Delivered
452,5452,19/06/2024,,ups,In Transit
453,5453,11/11/2023,,fedex,Delivered
454,5454,29/07/2024,,bluedart,In Transit
455,5455,02/06/2020,,ups,In Transit
456,5456,08/04/2021,17/04/2021,fedex,Returned
457,5457,11/05/2020,21/05/2020,bluedart,Returned
458,5458,26/06/2024,,bluedart,In Transit
459,5459,19/12/2023,24/12/2023,bluedart,Returned
460,5460,23/03/2023,,fedex,Delivered
461,5461,14/02/2021,19/02/2021,ups,Returned
462,5462,30/07/2023,,ups,Delivered
463,5463,09/09/2024,15/09/2024,ups,Returned
464,5464,13/04/2020,,ups,Delivered
465,5465,10/07/2024,,fedex,Delivered
466,5466,27/12/2022,05/01/2023,bluedart,Returned
467,5467,28/10/2024,,ups,Delivered
468,5468,05/09/2022,14/09/2022,dhl,Returned
469,5469,28/07/2021,02/08/2021,ups,Returned
470,5470,30/12/2023,,bluedart,Delivered
471,5471,25/07/2020,,bluedart,In Transit
472,5472,04/08/2024,,fedex,Delivered
473,5473,26/06/2020,,bluedart,In Transit
474,5474,13/09/2021,,ups,In Transit
475,5475,16/02/2024,,bluedart,In Transit
476,5476,23/03/2021,,ups,Delivered
477,5477,22/11/2023,,dhl,In Transit
478,5478,29/12/2022,,bluedart,Delivered
479,5479,02/12/2021,,ups,In Transit
480,5480,25/12/2024,,bluedart,In Transit
481,5481,17/07/2020,,ups,In Transit
482,5482,16/10/2020,19/10/2020,dhl,Returned
483,5483,21/07/2020,,ups,In Transit
484,5484,07/08/2020,,dhl,In Transit
485,5485,31/08/2024,,bluedart,In Transit
486,5486,17/07/2024,,fedex,In Transit
487,5487,13/09/2024,,dhl,In Transit
488,5488,03/03/2020,,fedex,Delivered
489,5489,17/12/2022,,ups,In Transit
490,5490,05/11/2022,,dhl,Delivered
491,5491,08/04/2020,12/04/2020,ups,Returned
492,5492,13/10/2020,,bluedart,Delivered
493,5493,02/12/2021,06/12/2021,fedex,Returned
494,5494,24/12/2020,02/01/2021,ups,Returned
495,5495,09/12/2020,,dhl,In Transit
496,5496,27/07/2023,,fedex,Delivered
497,5497,16/07/2024,,bluedart,In Transit
498,5498,17/03/2023,,bluedart,Delivered
499,5499,08/08/2024,13/08/2024,bluedart,Returned
500,5500,06/01/2022,,dhl,Delivered
501,5501,23/03/2021,,bluedart,Delivered
502,5502,11/01/2021,20/01/2021,dhl,Returned
503,5503,03/03/2022,07/03/2022,bluedart,Returned
504,5504,23/09/2020,,dhl,Delivered
505,5505,01/12/2024,05/12/2024,ups,Returned
506,5506,29/11/2021,,fedex,In Transit
507,5507,02/12/2022,,ups,Delivered
508,5508,13/05/2021,21/05/2021,bluedart,Returned
509,5509,21/06/2021,30/06/2021,ups,Returned
510,5510,10/09/2022,15/09/2022,dhl,Returned
511,5511,02/06/2022,06/06/2022,fedex,Returned
512,5512,26/10/2022,,ups,Delivered
513,5513,02/12/2021,07/12/2021,fedex,Returned
514,5514,20/12/2023,,fedex,Delivered
515,5515,29/03/2023,,fedex,In Transit
516,5516,23/04/2024,,fedex,Delivered
517,5517,21/08/2020,28/08/2020,fedex,Returned
518,5518,29/01/2021,04/02/2021,ups,Returned
519,5519,15/06/2020,,dhl,In Transit
520,5520,04/01/2022,,dhl,In Transit
521,5521,18/05/2020,23/05/2020,ups,Returned
522,5522,11/12/2024,,ups,In Transit
523,5523,27/06/2021,06/07/2021,dhl,Returned
524,5524,02/02/2024,,ups,Delivered
525,5525,02/01/2025,,dhl,Delivered
526,5526,21/10/2023,30/10/2023,fedex,Returned
527,5527,22/09/2021,,dhl,In Transit
528,5528,06/09/2024,,fedex,Delivered
529,5529,11/07/2020,,fedex,Delivered
530,5530,29/04/2021,03/05/2021,dhl,Returned
531,5531,22/01/2024,,dhl,Delivered
532,5532,13/06/2020,,fedex,In Transit
533,5533,05/01/2022,,bluedart,In Transit
534,5534,20/10/2024,30/10/2024,dhl,Returned
535,5535,22/01/2022,,bluedart,Delivered
536,5536,05/08/2023,14/08/2023,dhl,Returned
537,5537,18/10/2021,,bluedart,Delivered
538,5538,04/04/2022,,dhl,In Transit
539,5539,26/08/2022,,bluedart,In Transit
540,5540,28/02/2023,,dhl,Delivered
541,5541,15/08/2022,,dhl,Delivered
542,5542,12/11/2023,,ups,In Transit
543,5543,12/01/2023,,bluedart,In Transit
544,5544,10/08/2022,,fedex,Delivered
545,5545,05/05/2021,,dhl,In Transit
546,5546,05/12/2023,,ups,Delivered
547,5547,11/06/2021,16/06/2021,dhl,Returned
548,5548,04/11/2020,07/11/2020,fedex,Returned
549,5549,10/03/2020,,ups,Delivered
550,5550,08/12/2022,,bluedart,Delivered
551,5551,15/12/2024,,bluedart,In Transit
552,5552,23/12/2021,26/12/2021,bluedart,Returned
553,5553,23/06/2023,29/06/2023,fedex,Returned
554,5554,14/08/2023,,ups,In Transit
555,5555,23/07/2020,28/07/2020,dhl,Returned
556,5556,15/05/2020,,fedex,In Transit
557,5557,21/04/2020,,dhl,Delivered
558,5558,23/10/2020,31/10/2020,dhl,Returned
559,5559,11/11/2022,,ups,In Transit
560,5560,18/06/2023,27/06/2023,dhl,Returned
561,5561,22/08/2021,,fedex,In Transit
562,5562,08/02/2024,,fedex,Delivered
563,5563,18/08/2022,,dhl,Delivered
564,5564,09/12/2021,14/12/2021,bluedart,Returned
565,5565,21/02/2022,,bluedart,In Transit
566,5566,19/07/2024,,ups,In Transit
567,5567,29/05/2022,06/06/2022,ups,Returned
568,5568,02/09/2024,,bluedart,In Transit
569,5569,16/11/2024,24/11/2024,ups,Returned
570,5570,19/10/2024,,dhl,In Transit
571,5571,05/07/2021,10/07/2021,ups,Returned
572,5572,17/07/2022,,ups,In Transit
573,5573,25/05/2024,,dhl,Delivered
574,5574,30/06/2020,,ups,In Transit
575,5575,13/11/2022,,bluedart,Delivered
576,5576,15/03/2021,,ups,In Transit
577,5577,23/12/2023,,dhl,Delivered
578,5578,28/11/2020,,bluedart,Delivered
579,5579,22/12/2021,,dhl,In Transit
580,5580,14/12/2023,20/12/2023,bluedart,Returned
581,5581,29/05/2022,,bluedart,In Transit
582,5582,16/05/2022,,fedex,Delivered
583,5583,30/04/2024,03/05/2024,fedex,Returned
584,5584,12/04/2020,21/04/2020,fedex,Returned
585,5585,27/07/2023,03/08/2023,fedex,Returned
586,5586,31/03/2021,,ups,Delivered
587,5587,07/10/2021,,dhl,In Transit
